name;variation_type;variant;category;brand;reference;barcode;description;description_on_invoice;price;price_supplier;unity;control_stock;vat;vat_isention;vat_isention_norm;product_type;class_;merceria_nortenha;stock_merceria_nortenha;profit_margin;image
Sumol Lata Laranja;;;BEBIDAS S/ ALCOOL;Socorama;VSUM149-24030237;5601045000434;;Não;0,7852;0,5410;Uni;Sim;23;;;P;;S;22,0000;18.00;
Sumol lata Laranja;;;BEBIDAS S/ ALCOOL;Sumol;VSUM150-24030244;httpsÇ--msha.ke-sumol-;;Não;0,0000;0,0000;Kg;Sim;23;;;P;;S;0;;
Luso 0.50 cl;;;BEBIDAS S/ ALCOOL;Luso;VLUS151-24030370;5601163100313;;Não;0,3530;0,2540;Kg;Sim;23;;;P;;S;19,0000;12.99;
Sumol Laranja 1.5 L;;;BEBIDAS S/ ALCOOL;Sumol;VSUM152-24030391;5601045000427;;Não;1,5006;1,2200;Uni;Sim;23;;;P;;S;-6,0000;0.00;
Seven Up 1.5 L;;;BEBIDAS S/ ALCOOL;Seven Up;VSEV153-24030388;5601045108208;;Não;1,5006;1,2200;Uni;Sim;23;;;P;;S;0;0.00;
Sumol Ananas 1.50 L;;;BEBIDAS S/ ALCOOL;Sumol;VSUM154-24030329;5601045000137;;Não;1,5006;1,2200;Uni;Sim;23;;;P;;S;-5,0000;0.00;
Massa  Esparguete 500g  Puríssimo;;;MASSA;Puríssimo;VMAS155-24030382;5600205111645;;Não;0,7992;0,5800;Uni;Sim;6;;;P;ALI;S;24,0000;29.99;
Massa Macarrnet Riscado 500g Puríssimo;;;MASSA;Puríssimo;VMAS156-24030336;5600205111843;;Não;0,9095;0,6600;Uni;Sim;6;;;P;ALI;S;19,0000;30.00;
Massa Espirais 500 g Puríssimo;;;MASSA;Puríssimo;VMAS157-24030337;5600205111850;;Não;0,9095;0,6600;Uni;Sim;6;;;P;ALI;S;-3,0000;30.00;
Polpa Tomate 1 L Guloso;;;MERCEARIA;Guloso;VPOL158-24030315;5601019012418;;Não;2,3513;1,6200;Uni;Sim;23;;;P;ALI;S;4,0000;18.00;
Polpa Tomate 500 g Compal;;;MERCEARIA;Compal 1;VPOL159-24030376;5601151862155;;Não;1,5860;1,0700;Uni;Sim;23;;;P;ALI;S;5,0000;20.51;
Arroz Carolino;;;ARROZ;Louro;LOURO emb. 1 kg;5601537332739;;Não;1,7501;1,2700;Uni;Sim;6;;;P;ALI;S;-2,0000;30.00;
Arroz Agulha 1 kg Louro;;;ARROZ;Louro;LOURO  emb. 1 kg;5601537121135;;Não;1,2953;0,9400;Uni;Sim;6;;;P;ALI;S;7,0000;30.00;
Sal Grosso 1 kg Amanhecer;;;MERCEARIA;Amanhecer 1;VSAL162-24030324;5601227017458;;Não;0,3498;0,2200;Uni;Sim;6;;;P;ALI;S;12,0000;50.00;
Sal Fino 250 g Amanhecer;;;MERCEARIA;Amanhecer 1;VSAL163-24030374;5601227018684;;Não;0,3908;0,2950;Uni;Sim;6;;;P;ALI;S;-6,0000;24.98;
